Entrez Gene IDs	RSCE_10_BC2CTUACXX_AGTTCC_L006_R1.bam	RSCE_12_BC2CTUACXX_TGACCA_L005_R1.bam	RSCE_14_BC2CTUACXX_GTCCGC_L003_R1.bam	RSCE_16_BC2CTUACXX_AGTTCC_L004_R1.bam	RSCE_18_BC2CTUACXX_CAGATC_L003_R1.bam	RSCE_20_BC2CTUACXX_GTGAAA_L005_R1.bam	RSCE_2_BC2CTUACXX_CGATGT_L007_R1.bam	RSCE_4_BC2CTUACXX_TGACCA_L006_R1.bam	RSCE_6_BC2CTUACXX_CTTGTA_L005_R1.bam	RSCE_8_BC2CTUACXX_CCGTCC_L007_R1.bam
1	13	12	2	1	104	102	14	19	88	110
2	0	0	0	0	2	3	0	0	0	0
9	346	286	80	121	76	74	94	89	175	141
10	0	1	0	0	0	1	0	0	0	0
12	10	17	692	1215	2	2	26	91	11	6
13	1	0	0	0	0	0	164	172	9	2
14	1787	1796	841	1302	1920	1989	1569	1418	1951	2086
15	2	2	0	0	1	5	0	1	2	2
16	4123	3269	4551	5598	896	887	3742	2877	4123	3978
18	30	39	47	48	36	52	11	28	36	57
19	3001	2296	1171	891	752	655	470	743	2398	1598
20	254	217	376	524	171	187	276	275	268	291
21	165	153	610	795	33	54	351	305	748	832
22	1224	1059	246	314	361	377	667	562	949	896
23	2107	1531	1029	1370	1975	1907	1299	1033	2219	1884
24	13	10	71	137	15	13	2	3	9	4
25	1279	1189	1810	2423	1102	1252	1409	1514	1875	1954
26	2	5	101	220	0	0	0	0	2	1
27	5041	3659	1627	2638	3641	3879	913	788	3029	2786
28	0	0	7	17	0	0	0	0	0	0
29	1993	1693	747	952	483	494	1722	1098	1376	1279
30	461	407	131	173	372	364	326	310	577	581
31	3708	2899	830	1350	1976	1767	2329	2849	1866	1630
32	89	68	94	128	307	293	450	361	104	123
33	0	3	1	5	0	0	2	1	0	0
34	1280	1447	423	528	910	922	743	653	887	1048
35	146	124	70	132	139	117	173	195	112	138
36	198	179	142	199	105	119	503	405	590	642
37	5361	4894	1262	1973	5277	5533	3314	2825	5244	5283
38	1392	1456	667	879	1641	1812	1284	1290	2402	2450
39	1217	1294	401	723	1124	1203	951	747	753	780
40	1	1	7	4	13	11	29	18	1	1
41	12	18	12	10	38	35	68	55	36	34
43	10	8	1	1	2	1	10	7	18	17
47	12489	11163	2043	2560	6936	6971	13144	14228	5663	5923
48	1518	1457	3459	4098	1506	1789	945	1085	1361	1443
49	1	0	0	0	0	0	0	0	1	1
50	887	840	634	867	1439	1326	907	893	1683	1544
51	1171	1096	1188	1602	1314	1282	1421	1238	1242	1276
52	2083	1811	431	651	964	1148	2833	2634	1884	2001
53	181	160	387	515	296	312	303	252	508	439
54	134	113	16	25	1	1	1	1	339	231
55	5	5	80	132	1	1	0	1	72	69
56	1	0	1	1	2	1	0	0	4	3
58	3	3	2	2	4	4	6	2	10	9
59	6	11	43	84	7	7	74	96	46	85
60	81619	67559	58074	72399	74426	84910	58744	57377	107891	108257
70	0	0	3	0	318	304	2	1	0	1
71	79678	65587	35721	48574	33381	41129	82647	75409	41312	41867
72	8	7	3	2	5	5	9	7	23	27
81	9187	6898	5848	8433	7513	7906	16892	13788	6112	6152
86	2095	1855	1693	2525	2721	2946	1344	1180	2349	2278
87	5515	4665	5421	6880	2148	2990	4490	3990	10320	9982
88	0	0	0	0	0	1	0	0	1	1
89	4	2	3	4	2	6	7	4	3	6
90	276	242	352	435	383	378	250	239	308	276
91	493	508	284	449	288	289	439	371	536	529
92	221	170	194	300	868	1028	276	241	270	238
93	219	175	112	113	762	699	433	362	409	364
94	4	3	44	51	2	0	5	2	7	12
95	224	220	125	150	312	332	187	180	308	347
97	151	106	66	133	216	208	150	127	151	201
98	31	19	48	74	28	34	22	26	32	19
100	188	188	36	35	619	543	526	495	277	197
101	39	39	510	866	24	32	73	51	266	246
102	1889	1728	2327	2859	2429	2396	2823	2534	2360	2260
103	7477	5840	5642	8174	7565	7618	5699	5207	9790	9545
104	104	108	59	82	174	190	47	58	163	165
105	0	0	0	0	0	0	0	0	0	0
107	2	0	17	35	1	0	71	59	0	0
108	0	0	0	0	1	0	1	0	0	4
109	872	688	281	470	927	884	1081	897	859	821
111	0	0	0	0	4	5	12	14	0	1
112	165	127	329	526	587	643	621	556	277	300
113	1671	1311	1144	1216	820	767	671	743	1726	1766
114	0	1	0	0	0	0	0	0	1	0
115	627	444	970	1257	953	1067	408	369	617	520
116	0	0	0	0	0	0	0	0	0	0
117	0	0	0	1	1	0	0	1	0	0
118	2793	2498	2196	3000	2661	2664	2291	2166	2660	2857
119	2	0	196	218	731	754	548	403	0	0
120	1183	1309	1126	1783	3964	4095	833	1083	1253	1428
123	1031	1139	1718	1621	1038	1053	436	300	1741	1495
124	0	0	0	4	0	0	1	0	0	0
125	0	0	0	4	0	0	0	1	0	0
126	1	1	13	127	0	0	0	0	0	0
127	0	0	0	0	1	0	0	0	0	0
128	2126	2025	1820	2563	2532	2669	1751	1669	1871	2016
130	1	0	0	0	0	0	0	1	0	0
131	0	0	1	0	0	1	0	0	1	1
132	1210	1218	1236	1695	1323	1427	578	487	1972	1964
133	263	401	362	404	213	247	1274	968	177	140
134	10	15	186	221	3	1	3	12	87	71
135	7	7	9	15	49	76	9	11	199	183
136	684	721	281	462	178	270	85	93	1155	1326
140	1	0	0	0	0	2	1	0	0	0
141	22	21	50	57	40	46	45	28	121	74
142	3944	3636	2465	3566	4010	3900	3373	2735	5004	5061
143	2197	2064	1625	2252	1446	1641	2012	1908	1538	1692
146	0	0	0	2	1	1	32	31	0	1
147	8	19	17	17	52	58	57	44	15	16
148	0	0	0	0	0	0	0	0	0	0
150	0	0	0	1	3	2	1	0	1	0
151	0	1	0	0	2	3	1	0	8	3
152	2	0	14	20	27	35	97	92	90	58
153	3	4	18	18	6	16	32	28	3	6
154	524	398	1033	2473	9	16	11	8	254	326
155	0	0	0	0	0	0	0	0	0	0
156	856	677	679	1062	1186	1138	672	598	1753	1856
157	409	391	130	203	290	318	422	383	461	508
158	1672	1611	604	894	3602	3848	1875	1487	2504	2463
159	1386	1226	1162	1700	1258	1339	1366	1084	1781	1686
160	926	841	685	994	976	873	965	968	907	967
161	696	598	700	886	818	879	796	767	475	438
162	1948	1675	552	869	1582	1631	924	766	3085	3123
163	4785	3980	3935	5596	2898	3672	5992	4983	4978	4802
164	3520	2599	2225	3284	1085	1191	2800	2668	2492	2415
165	0	1	51	69	1	1	1	0	6	2
166	426	418	2468	3708	3219	3251	1172	1304	1780	1796
167	0	0	0	0	0	0	0	0	0	0
172	328	239	138	277	119	132	346	251	432	390
173	0	0	0	0	0	0	0	0	0	0
174	0	1	5	5	0	1	7	11	2	3
175	233	199	311	504	114	121	314	338	556	561
176	2	0	0	0	0	1	0	0	0	1
177	15	10	18	21	30	25	19	9	17	15
178	1357	1072	499	693	2246	2229	643	591	619	607
181	0	0	0	0	0	1	0	0	0	0
182	1015	686	791	1004	346	487	6174	7327	4188	3429
183	0	2	6	18	9	4	0	3	66	68
185	0	0	0	0	0	0	8	12	0	0
186	0	0	0	0	0	0	0	0	0	0
187	0	0	0	1	0	0	3	0	0	0
189	1	0	0	0	0	0	0	0	12	3
190	0	0	0	0	25	25	782	594	0	0
191	4806	4212	1050	1556	4155	4333	3840	3367	5975	6262
196	3981	3542	11677	16452	4512	4771	1341	1436	7718	8333
197	0	0	2	0	1	0	1	0	0	1
199	0	0	0	1	0	0	0	0	0	0
202	3805	2832	2654	3765	1614	1535	20	27	4164	4495
203	613	590	253	383	419	454	290	264	678	688
204	2398	2311	1181	1748	2458	2569	1713	1405	2057	1857
205	2214	2331	329	447	803	831	222	244	792	611
207	1745	1681	1960	3087	2513	2633	1942	1906	3061	3045
208	1763	1394	1034	1739	1844	1874	2638	2662	551	583
210	243	212	244	355	278	303	207	212	337	341
211	1019	919	318	535	1216	1390	1276	1100	1588	1401
212	0	0	0	0	0	0	0	1	0	0
213	1	1	2	3	0	0	0	0	1	2
214	10270	9283	3685	6232	657	690	3915	3908	6253	6996
215	44	42	210	268	93	87	45	60	222	204
216	45	0	43	130	34	0	125776	174227	0	58
217	332	389	881	1193	892	864	1280	1492	212	263
218	8	2	13476	21569	26	26	8797	6275	1	4
219	1717	1502	443	649	627	954	985	836	1462	1631
220	4932	2892	2743	6254	426	494	897	463	1013	1298
221	506	424	864	1228	390	411	2051	2020	1458	1585
222	4	3	4	8	0	0	0	0	24	18
223	1054	969	974	1203	1748	1800	992	986	1703	1674
224	986	883	1265	1960	3710	4006	6721	5855	1840	1776
225	0	0	0	0	1	0	0	0	1	3
226	17759	16919	10841	16548	13008	13549	12143	11839	18105	17199
229	0	0	0	0	0	0	0	0	0	0
230	164	172	213	245	780	604	30	18	460	427
231	963	894	1292	1480	8157	9153	5935	6349	4441	4275
238	0	0	157	228	0	0	2	0	2	1
239	0	0	0	1	0	0	0	0	0	0
240	20	13	512	1057	0	0	1	1	1	2
241	5	6	5	4	3	4	4	11	3	2
242	4	2	0	0	0	0	3	4	3	6
244	68	63	38	241	295	300	183	215	61	53
245	176	102	43	68	23	21	85	80	133	116
246	0	0	0	0	1	0	3	1	1	2
247	0	1	3	11	2	5	0	0	0	0
248	0	0	0	0	4	1	1	0	0	0
249	0	0	6	14	3	2	3	6	7	7
250	580	257	48	190	761	837	1	5	36	32
251	52	29	8	51	20	17	0	3	2	6
257	0	0	0	1	0	2	0	0	0	0
258	0	0	0	0	0	0	1	0	0	0
259	0	1	2	1	16	12	35	71	0	2
262	4170	3510	2345	3885	3420	3800	4025	3785	3607	3419
265	0	0	1	0	0	0	0	0	0	0
266	0	0	0	0	0	0	0	0	0	0
267	2165	1880	2241	3092	2238	2417	2605	2481	2337	2266
268	12	7	75	124	4	6	87	71	194	143
269	2	1	0	0	0	0	10	7	3	1
270	2	2	0	0	0	1	0	0	0	0
271	846	827	327	476	3755	3911	604	518	779	814
272	223	179	297	527	57	81	88	57	118	131
273	0	0	12	10	1	0	0	0	3	3
274	637	594	717	883	2392	2539	473	360	637	684
275	6	5	18	26	13	5	7	11	25	20
276	1	0	0	0	0	0	0	0	0	0
277	2	1	1	2	0	0	0	0	0	0
278	1	0	0	0	0	0	0	0	0	0
279	1	0	0	0	1	2	0	0	1	0
280	28	24	45	52	23	20	14	8	7	9
283	7	8	27	30	27	13	48	97	21	30
284	9	3	15	18	799	773	33	20	1	3
285	0	1	0	0	0	0	0	0	1	0
286	6	12	15	15	25	25	72	51	131	70
287	17	31	190	256	2	2	156	132	15	20
288	152	143	201	236	19	17	21	31	102	78
290	60	43	661	460	614	803	109	92	2786	2758
291	521	456	234	357	315	370	306	287	604	618
292	7992	6846	1868	2570	2513	2472	3972	3600	4776	4337
293	2197	1912	1733	2187	1163	1198	2794	2769	2248	2179
301	13752	13101	15363	20750	4840	5355	29289	29645	16367	15793
302	16214	15952	11459	16433	9469	10981	25718	24936	11416	12386
303	300	251	165	231	136	120	483	483	184	238
304	18319	19772	14814	20302	12646	13896	30016	29404	13019	14434
305	1423	1544	1162	1625	722	862	2520	2215	1162	1115
306	5500	5486	1895	2766	3224	4502	1186	986	3085	3464
307	600	479	921	1069	108	105	1793	1588	359	350
308	6039	6166	8264	9374	11408	11871	4334	3766	7196	7180
309	56	56	862	1089	4300	4693	996	978	881	960
310	2321	2242	1729	2638	3136	3377	3169	2584	3768	3712
311	1812	1579	1880	3213	1867	2044	2586	2338	1722	1733
312	0	1	1	5	1	0	74	80	2	2
313	70	74	19	49	1	0	0	0	80	59
314	76	55	21	26	49	68	47	36	117	76
316	525	626	783	638	485	462	62	52	326	439
317	644	552	728	968	1342	1255	895	838	421	398
318	128	128	157	252	352	331	206	199	179	250
319	0	0	0	0	0	0	0	0	0	1
320	39	29	43	62	0	2	5	9	66	119
321	71	76	267	462	333	356	547	452	0	0
322	117	115	26	28	450	405	233	236	393	409
323	1164	1057	1260	1554	986	1295	560	571	940	1085
324	1299	1021	1545	2059	1068	1096	1551	1507	2439	2300
325	0	0	0	1	0	0	0	0	0	0
326	0	0	0	0	0	0	0	0	0	0
327	2194	2004	363	598	2176	2287	1192	1200	2298	2614
328	1860	1287	1456	1440	903	819	1406	780	2134	1724
329	2596	2153	4128	5687	1916	2024	1644	1296	2568	2673
330	1749	1987	9199	14618	165	250	1780	849	210	376
331	2428	1996	1246	1726	917	978	1748	1641	1639	1710
332	2338	2127	1253	1889	1906	1881	3663	2789	2270	1960
333	4	6	66	84	110	100	433	381	90	115
334	6895	6372	12050	16877	7544	7838	3216	2890	10669	11479
335	0	0	1	1	5	1	0	0	0	1
336	0	0	0	1	0	1	0	0	0	0
337	1	0	0	0	0	0	0	0	0	0
338	0	0	1	1	0	0	0	0	0	0
339	0	0	0	0	0	0	0	0	0	0
341	56	58	12	29	180	181	358	496	154	94
342	0	0	1	0	0	0	2	3	3	1
343	0	0	0	0	0	1	0	1	0	0
344	0	0	0	0	0	0	0	0	0	0
345	0	0	0	0	0	1	0	0	0	0
346	0	0	0	0	0	0	0	0	0	0
347	0	0	90	237	1	0	0	7	0	0
348	25	22	25	35	64	53	44	64	173	117
350	4	1	1	9	0	0	59	65	0	1
351	3682	3812	7208	9063	5619	5526	3564	3251	5413	5228
353	2334	2044	736	1121	1163	1260	1234	1250	1220	1533
354	0	0	0	0	0	0	0	0	0	0
355	318	331	527	1007	36	46	292	323	293	267
356	0	0	0	1	0	0	1	1	0	0
357	106	88	0	10	20	10	8	4	9	13
358	2	1	10	7	49	36	4	4	64	51
359	1	0	0	0	0	0	1	1	0	0
360	36	33	258	635	298	349	29	72	100	107
361	0	0	0	0	0	0	1	4	0	0
362	0	0	0	2	3	2	0	0	1	0
363	0	0	0	0	0	1	0	0	0	1
364	1	2	0	2	2	0	2	1	0	0
366	0	0	0	0	0	0	0	0	0	0
367	1	0	418	559	0	0	233	197	1	1
368	36	23	135	218	38	29	18	50	16	10
369	793	556	569	809	416	380	479	390	878	764
372	3009	2325	2869	4271	3059	3386	1687	1627	3669	3505
373	514	477	542	665	256	241	521	431	631	721
374	1709	1534	191	819	10	3	1078	664	214	265
375	3700	2898	3354	3812	1836	1898	2198	1595	4548	3962
377	3233	2760	1349	2128	2170	2158	2590	2280	1764	1738
378	2042	1932	1320	2118	3795	4652	1561	1579	3713	3821
379	195	136	111	112	255	287	177	231	137	119
381	934	820	706	1209	648	740	696	697	1116	1216
382	3306	2695	3274	4285	1129	1296	2253	1528	3454	3058
383	0	0	0	0	0	0	0	0	0	0
384	9	20	13	20	222	351	9	11	214	318
387	4780	4542	2957	4157	5543	6053	6642	5822	6649	6652
388	1283	921	331	423	3664	3561	2711	2297	1310	1549
389	3866	3843	2150	3221	4476	5124	2168	2562	2842	3221
390	3124	2587	1046	1633	2409	3234	1820	1730	2423	2531
391	158	143	166	261	182	221	232	225	247	228
392	553	323	458	592	458	442	460	435	738	606
393	8	3	51	73	781	745	10	14	483	412
394	5185	4693	2181	3088	3285	3534	4129	3978	5033	5369
395	0	0	0	0	0	0	1	0	1	0
396	2357	1601	1884	2482	2198	2176	2680	2402	1811	1582
397	1860	1915	476	722	5	4	24	8	134	127
398	0	0	1	1	47	53	23	23	0	1
399	0	0	4	5	2	0	0	1	0	1
400	1441	1400	1131	1611	1394	1626	1417	1418	903	1030
401	0	0	0	0	1	1	0	0	0	0
402	335	383	682	1051	859	932	840	769	564	625
403	87	97	150	205	232	281	457	430	247	270
405	699	583	782	1075	2049	1909	766	737	984	878
406	109	113	620	489	150	206	237	278	285	439
407	1	1	0	0	0	0	0	0	0	0
408	95	96	316	404	402	425	44	95	229	225
409	204	208	50	82	237	203	881	1029	444	457
410	66	82	111	159	200	203	131	138	185	207
411	322	281	345	544	697	647	500	431	449	396
412	623	478	602	1124	160	124	123	151	429	423
414	764	778	2032	2711	41	56	389	472	589	605
415	124	136	76	119	1	0	294	375	4	3
416	0	0	0	0	0	0	0	0	0	0
417	0	0	0	0	0	0	0	1	0	1
419	0	0	0	0	0	1	0	0	0	0
420	1	0	0	0	1	1	0	1	2	0
421	163	130	11	33	34	44	38	23	120	135
427	716	699	638	1092	973	1061	1294	1212	914	1007
429	0	1	0	0	0	0	0	1	0	0
430	0	0	0	1	0	0	0	1	0	0
432	1	2	1	1	1	3	2	19	5	5
433	0	1	0	0	0	0	0	1	0	0
434	0	0	0	0	0	0	0	0	0	2
435	1242	1181	172	293	611	724	268	333	1314	1734
438	0	0	0	0	0	0	1	1	0	0
439	968	941	749	958	1137	1132	622	571	2402	2545
440	694	715	185	282	48	64	1507	1247	896	1098
443	0	0	0	0	0	0	0	0	2	1
444	27619	27040	39508	58761	11268	12278	38471	31422	7364	7785
445	65	68	1123	1820	801	811	99	155	1090	847
460	0	0	0	0	0	0	0	0	0	1
462	0	0	0	1	0	1	0	0	0	0
463	332	268	248	330	117	141	390	364	281	234
466	510	466	584	648	1160	1193	598	555	727	823
467	196	205	23	48	236	299	78	112	83	129
468	3691	3317	1381	2176	2319	2490	3941	3841	2774	3294
471	479	335	257	323	217	216	356	202	342	261
472	1628	1561	1981	3284	2307	2442	1828	1992	2587	2848
473	152	109	93	126	481	467	184	215	192	146
474	0	0	0	0	0	0	0	0	0	0
475	474	522	325	352	367	400	324	359	551	673
476	4048	3128	3077	3359	3451	3745	1487	877	4082	3099
477	10	8	3	10	4	10	2	0	20	15
478	157	93	64	101	6	5	48	39	0	1
479	0	1	0	0	0	0	0	1	1	0
480	1	3	0	0	1	0	1	0	0	0
481	1245	1017	1875	3555	1128	1304	2380	1974	804	674
482	0	1	0	0	0	0	1	1	0	1
483	1340	1220	576	716	2281	2260	1051	1056	1826	1445
486	4	2	0	0	0	0	76	67	0	0
487	16	5	6	11	8	2	15	10	16	10
488	6552	4845	5336	7116	4273	5196	18157	18457	5130	5011
489	1	4	40	40	26	15	67	96	88	97
490	2339	2075	1782	2596	7043	8167	4738	4844	4451	4278
491	0	0	2	1	0	1	1	0	4	5
492	0	0	0	0	0	0	6	8	0	0
493	2775	1892	2809	3378	819	826	703	553	3374	3316
495	0	0	0	0	0	0	1	0	0	1
496	0	0	0	0	0	0	0	0	0	0
498	7223	6808	2100	2976	8256	8505	7149	6796	6879	7559
501	186	211	327	371	561	553	330	355	416	392
506	14569	13152	5279	7367	10703	11196	16220	14715	16890	16706
509	1099	1104	1214	1658	3757	4181	2847	2817	2443	2461
513	247	198	107	172	120	141	83	86	213	209
514	1955	1804	550	838	4804	5267	1238	1402	1837	2187
515	4109	4006	1317	1791	6059	6279	1934	1675	2696	2790
516	849	726	393	567	704	739	1232	1134	685	697
517	1312	1246	1040	1424	1808	1830	2025	1963	1696	1841
518	2607	2375	1429	2090	3859	3873	2885	2488	2228	2102
521	1502	1417	558	904	1327	1444	892	870	1121	1226
522	559	496	494	600	859	872	478	444	532	513
523	2969	2709	1744	2486	5238	5455	1731	1546	3193	3357
525	0	0	31	51	2	1	19	14	10	11
526	1080	980	897	1219	1010	1053	1194	995	1280	1246
527	306	242	222	323	214	229	184	188	279	253
528	12308	11757	980	1327	2843	3073	2050	1773	2047	2224
529	750	697	459	644	1320	1472	850	719	1543	1440
533	1512	1373	319	481	1221	1374	635	583	815	791
534	1	1	3	8	8	4	4	4	10	8
535	474	318	266	454	485	576	704	627	526	502
537	1390	1148	557	759	808	806	772	681	1322	1245
538	282	290	450	588	205	202	626	814	473	547
539	1577	1507	1162	1753	1415	1546	1184	1145	1275	1428
540	75	62	20	21	238	244	92	93	36	30
545	2787	2307	966	1459	2721	2663	1957	1872	3056	3046
546	2802	2329	1831	2068	1383	1249	2892	2865	2125	2254
547	2	2	4	2	0	1	32	22	0	0
549	177	177	182	221	191	211	159	196	159	160
550	2278	1896	1051	1711	1325	1341	2449	2201	1609	1560
551	0	0	0	0	0	0	0	0	1	0
552	0	0	0	0	0	0	0	0	0	0
553	0	0	0	0	0	0	0	0	0	0
554	0	0	1	0	2	1	1	0	0	0
558	502	542	6917	6806	3374	3393	7505	4303	3584	4141
563	86	98	133	434	1	0	0	1	17	28
566	0	0	0	0	0	1	3	0	0	1
567	6048	6351	29567	39295	10214	11228	2513	2342	11455	12086
570	14	7	0	5	4	3	201	482	1	1
571	1103	1089	2117	3455	2028	2205	742	784	718	804
572	259	293	310	503	1298	1348	412	368	385	385
573	519	435	382	574	788	853	909	856	348	369
574	0	0	0	0	2	0	0	0	0	0
575	0	0	6	1	0	0	11	6	4	5
576	28	25	79	96	367	275	174	156	101	147
577	0	0	0	1	0	0	0	0	0	0
578	191	146	129	190	251	279	114	120	187	203
579	0	1	12	20	2	0	1	2	7	6
580	718	573	573	895	751	812	505	467	623	558
581	400	311	156	187	312	314	775	686	359	369
582	254	175	356	575	301	265	235	190	786	809
583	513	539	525	744	627	630	566	583	736	809
585	101	110	110	147	334	369	482	492	206	211
586	3559	3818	1687	1634	865	861	2006	1981	2589	2688
587	354	318	133	217	568	599	613	533	390	453
590	18	27	4	2	0	0	29	37	0	0
593	418	388	450	717	121	136	551	667	300	342
594	327	271	130	155	214	218	176	192	283	278
595	7971	7001	4849	8128	4280	4715	7525	5384	8131	5992
596	1	1	71	67	183	215	37	18	59	50
597	116	98	30	135	2	0	153	132	4	6
598	3669	3138	1651	3828	1312	1767	2657	2205	1901	1766
599	778	553	368	525	224	237	495	333	524	454
602	117	95	222	250	132	109	238	282	252	252
604	67	120	385	577	208	226	112	133	291	319
605	197	175	60	105	235	268	315	334	190	159
606	0	1	2	1	1	0	3	1	5	1
607	416	310	290	364	250	253	131	127	296	246
608	0	0	0	0	1	1	0	0	0	0
610	3	4	7	5	13	19	217	242	12	10
611	0	0	0	0	0	0	1	1	0	0
613	1800	1637	819	1399	807	841	704	676	1567	1692
617	903	843	362	534	429	436	482	479	683	719
618	1186	922	197	255	2902	3368	989	999	1251	900
622	72	76	91	104	211	245	35	41	56	76
623	0	0	1	3	66	71	10	14	15	13
624	0	4	205	304	132	88	223	362	179	108
627	679	432	376	519	329	367	700	795	607	593
629	235	247	5439	8691	249	206	8	16	248	324
631	29	34	66	66	26	39	98	79	66	71
632	23	30	46	73	25	48	21	26	39	36
633	1	0	0	0	0	1	0	0	0	0
634	4	4	73	133	0	1	14	7	6	2
635	2	0	10	30	0	3	0	0	0	0
636	114	98	58	77	246	293	96	71	92	92
637	68	82	475	820	660	752	594	488	271	266
638	304	306	16	58	1	2	4	7	12	16
639	42	20	72	132	1	1	111	131	35	36
640	0	0	0	0	0	0	0	0	0	1
641	623	539	286	444	1428	1323	1432	1364	760	696
642	395	412	354	537	3071	2924	993	909	965	828
643	0	0	0	0	1	0	0	0	2	2
644	126	122	607	832	230	224	490	422	484	520
645	357	307	1830	3181	910	983	1960	2143	319	399
646	4	2	101	177	603	809	33	14	7	8
648	2499	2294	581	752	4883	5429	1429	1216	2568	2563
649	538	494	880	1287	1325	1333	841	1039	713	737
650	94	88	56	100	562	702	5	6	604	728
651	1	0	7	153	0	0	0	0	1	2
652	239	203	260	552	30	30	17	29	144	140
653	0	1	0	1	1	0	1	1	8	1
654	6	5	14	15	631	514	174	263	0	1
655	0	1	2	10	1	2	9	3	0	0
656	36	40	28	78	35	36	75	62	18	14
657	480	401	545	699	1216	1311	1268	1034	958	969
658	250	190	102	104	2	2	730	763	202	189
659	1048	834	1574	2181	1687	1597	1583	1635	1238	1115
660	0	0	0	0	1	1	0	0	0	0
661	425	317	252	424	876	921	598	567	566	536
662	186	204	134	251	174	199	169	170	228	232
663	885	816	833	1207	1712	1911	2268	2062	1000	1143
664	1597	2211	856	1210	1336	1409	658	522	807	788
665	2151	2579	2223	3394	2697	2659	1230	1431	1458	1674
666	255	241	179	322	470	732	324	286	484	557
667	12373	7603	8924	15735	4316	4211	5425	4984	6657	5917
668	12	12	46	47	0	0	23	16	42	32
669	216	199	74	90	214	178	455	339	391	427
670	182	172	194	282	132	131	216	209	308	326
671	0	0	0	0	0	0	0	0	0	0
672	2056	1579	1507	1989	1441	1435	2846	2309	2822	2397
673	211	211	153	203	206	201	138	163	257	265
675	1717	1244	1108	1630	1928	1887	1302	1196	853	672
676	495	395	5	6	0	0	0	0	0	0
677	2478	1634	2946	3495	202	234	1405	1503	1887	1974
678	236	198	107	186	96	92	133	138	221	162
680	0	0	0	0	0	0	0	0	0	0
682	3563	3358	4696	6309	2208	2213	4371	4649	7747	8390
683	8	5	63	71	10	11	233	181	69	82
684	166	121	1259	1691	101	84	0	2	1454	1359
685	194	153	39	89	0	0	16	10	23	29
686	73	83	98	134	436	430	173	153	228	255
687	29	38	213	238	411	390	27	58	33	65
688	1327	1015	818	1444	2078	2190	674	791	264	309
689	3237	3130	3708	4370	1724	1807	2846	2438	3559	3098
690	0	0	0	0	0	0	0	1	3	1
694	564	430	436	537	277	250	562	662	481	509
695	2	3	0	0	0	0	1	0	2	1
696	0	0	0	0	0	0	0	0	0	1
699	4481	4052	1638	2264	4790	4449	2818	2414	3729	3536
701	1857	1644	1402	1906	3151	2849	1732	1480	2317	2034
705	450	377	151	288	511	545	374	307	405	314
706	883	878	422	559	918	1104	492	464	1140	1252
708	5601	5465	545	812	3446	3669	6032	5532	6115	5337
710	0	5	1	2	208	196	0	0	2	1
711	0	0	0	1	0	0	1	0	0	1
712	0	0	0	0	0	0	0	0	0	0
713	0	0	0	0	0	0	0	0	0	0
714	0	0	0	0	0	1	0	0	0	0
715	41	26	1247	1598	342	365	190	243	153	214
716	26	54	4550	6178	5586	6215	1055	1323	91	137
717	4	7	753	1079	45	40	1	1	33	33
718	34	37	11788	24129	2036	2328	286	490	1298	1293
719	0	0	1	2	0	0	0	0	0	2
720	27	25	114	190	641	400	30	19	158	130
721	3	1	11	20	89	44	3	0	18	27
722	0	0	3	6	0	0	4	6	0	0
725	6	15	57	140	15	22	16	6	0	1
726	123	105	183	226	78	58	93	73	245	223
727	29	25	283	407	6	3	1418	2131	97	162
728	10	1	3	1	285	268	18	14	6	5
729	0	0	0	1	0	0	0	0	0	0
730	0	0	1	2	0	1	0	0	0	0
731	0	0	0	0	0	2	0	0	0	0
732	0	0	0	0	0	0	0	0	0	0
733	6	1	15	19	2	7	9	10	2	5
734	477	461	622	798	1326	1344	2799	2671	1020	1178
735	0	0	0	0	3	6	0	0	0	0
738	1142	954	652	1134	1698	1710	765	724	1154	1169
740	1273	1239	938	1431	1908	2072	997	928	1310	1255
741	188	155	88	143	267	290	116	94	190	184
744	0	0	2	0	0	0	1	0	0	2
745	88	79	129	182	24	20	357	358	37	38
746	735	785	484	705	905	1007	587	708	746	769
747	203	149	45	90	74	113	71	56	48	65
750	0	0	0	0	0	0	0	0	0	0
752	22	36	162	204	405	389	372	374	18	13
753	0	0	49	41	0	2	41	63	0	1
754	4601	4805	5606	8243	4396	5007	2164	2133	3762	4045
755	85	72	90	127	45	36	56	47	88	85
757	290	247	254	352	229	344	285	262	288	308
758	0	0	0	0	0	0	0	0	0	0
759	0	0	0	0	0	0	0	0	0	0
760	0	1	33	54	0	1	23	20	7	7
761	0	1	8	12	6	7	0	0	1	2
762	0	0	0	0	0	0	0	1	0	0
763	0	0	0	0	0	0	0	0	0	0
765	0	0	2	0	0	0	0	0	0	2
766	0	0	0	1	0	1	0	0	0	0
767	0	1	7	11	0	0	421	274	0	1
768	1	1	491	583	25	18	20	21	41	24
770	15	13	39	35	12	4	53	52	28	30
771	10	12	1150	1084	405	401	7022	5777	761	564
773	0	0	1	2	1	1	3	2	38	29
774	0	0	3	5	0	0	5	1	78	101
775	0	1	0	1	1	1	0	2	0	1
776	6	0	0	2	2	0	40	70	7	5
777	0	0	0	0	0	0	1	1	2	3
778	0	0	0	0	1	0	0	2	0	0
779	1	0	0	0	2	0	0	1	0	0
780	1195	1128	1049	2198	720	739	843	827	549	513
781	1	1	5	8	0	1	766	580	2	3
782	95	82	67	69	120	114	101	93	71	60
